id;Domisili;Apakah Anda Mahasiswa / Fresh Graduate;Kemampuan Karyawan ;Target Masuk Perusahaan ;Mengetahui Perusahaan ini Dari Mana?;Provinsi;Mahasiswa/Fresh Graduate;Bukan Mahasiswa;Excel;SQL;Python;Power BI;Looker Studio;Databases;Tableau;Cari Kerja;Upskill;Networking;Switch Career;Jumlah Skill;Jumlah Motivasi;Competency Level;Motivation;Skill
11;Banyumas;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases;Cari Kerja;Instagram;Jawa Tengah;1;0;1;1;1;1;1;1;0;1;0;0;0;6;1;High-Potential Talent;;
12;Jawa Tengah;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
13;Bekasi;Ya;Excel, SQL, Python, Power BI, Tableau;Upskill;Teman;Jawa Barat;1;0;1;1;1;1;0;0;1;0;1;0;0;5;1;High-Potential Talent;;
14;Jakarta Timur;Tidak;Excel, SQL, Python, Power BI;Upskill, Networking;LinkedIn;Jakarta;0;1;1;1;1;1;0;0;0;0;1;1;0;4;2;Job-Ready Talent;;
15;Padang;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Anything;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Barat;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
16;Cianjur;Tidak;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Networking;Teman;Jawa Barat;0;1;1;1;1;1;0;1;0;1;0;1;0;5;2;High-Potential Talent;;
17;Medan;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Utara;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
18;Gresik;Ya;Excel, SQL, Python, Power BI, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;0;0;1;1;1;1;0;5;3;High-Potential Talent;;
19;Makassar;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sulawesi Selatan;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
20;Jawa Barat,;Ya;Excel, SQL, Power BI, Looker Studio;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;0;1;1;0;0;1;1;0;0;4;2;Job-Ready Talent;;
21;Bandung ;Ya;Power BI, Looker Studio, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;0;0;0;1;1;0;1;1;1;0;0;3;2;Job-Ready Talent;;
22;Bekasi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;Instagram;Jawa Barat;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
23;Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
24;Dumai;Tidak;Excel, SQL, Python, Power BI, Tableau;Upskill;LinkedIn;Riau;0;1;1;1;1;1;0;0;1;0;1;0;0;5;1;High-Potential Talent;;
25;Dumai;Tidak;Excel, SQL, Python, Power BI, Tableau;Upskill;LinkedIn;Riau;0;1;1;1;1;1;0;0;1;0;1;0;0;5;1;High-Potential Talent;;
26;Pekanbaru;Tidak;Excel, Python, Power BI;Upskill, Switch Career;LinkedIn;Riau;0;1;1;0;1;1;0;0;0;0;1;0;1;3;2;Job-Ready Talent;;
27;Depok;Ya;Excel, SQL, Python, Power BI, Looker Studio;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;0;0;1;1;1;1;5;4;High-Potential Talent;;
28;Purworejo;Ya;Excel, SQL, Python, Looker Studio;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;0;1;0;0;1;1;1;0;4;3;Job-Ready Talent;;
29;Medan;Ya;SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja;LinkedIn;Sumatera Utara;1;0;0;1;1;1;1;0;1;1;0;0;0;5;1;High-Potential Talent;;
30;Malang;Tidak;Excel;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4;Emerging Talent;;
31;Bekasi;Ya;Excel, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;0;0;1;1;0;1;1;1;1;1;4;4;Job-Ready Talent;;
32;Jakarta ;Tidak;Excel, SQL, Python, Databases;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jakarta;0;1;1;1;1;0;0;1;0;1;1;1;1;4;4;Job-Ready Talent;;
33;Sumatera selatan;Tidak;Excel, Looker Studio, Databases;Upskill;LinkedIn;Sumatera Selatan;0;1;1;0;0;0;1;1;0;0;1;0;0;3;1;Job-Ready Talent;;
34;Bandung;Tidak;Excel, SQL, Python, Databases, Tableau;Upskill, Networking;Teman;Jawa Barat;0;1;1;1;1;0;0;1;1;0;1;1;0;5;2;High-Potential Talent;;
35;Surabaya;Tidak;SQL, Python, Power BI, Looker Studio;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;0;1;0;1;1;1;1;0;0;1;1;1;0;4;3;Job-Ready Talent;;
36;Jakarta;Tidak;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Jakarta;0;1;1;1;1;1;0;1;1;1;1;1;1;6;4;High-Potential Talent;;
37;Medan;Ya;Excel, Python, Databases;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Sumatera Utara;1;0;1;0;1;0;0;1;0;1;1;1;1;3;4;Job-Ready Talent;;
38;Tangerang Selatan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
39;tangerang selatan;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Banten;0;1;0;1;1;1;1;1;1;0;1;0;0;6;1;High-Potential Talent;;
40;Makassar;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sulawesi Selatan;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
41;Serang;Tidak;Excel, SQL, Power BI, ;Cari Kerja, Upskill, Switch Career;LinkedIn;Banten;0;1;1;1;0;1;0;0;0;1;1;0;1;3;3;Job-Ready Talent;;
42;Tangerang Selatan ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
43;Malang;Tidak;SQL, Python, Power BI, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;0;1;1;1;0;1;1;0;1;1;1;5;3;High-Potential Talent;;
44;Jambi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jambi;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
45;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
46;Gresik;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau, Data analyst spesifik dunia sosial;Upskill, Networking, Switch Career;Teman;Jawa Timur;0;1;0;1;1;1;1;1;1;0;1;1;1;6;3;High-Potential Talent;;
47;Jakarta ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
48;Purwokerto ;Ya;Looker Studio, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;0;0;0;0;1;0;1;1;1;1;0;2;3;Emerging Talent;;
49;Malang;Ya;SQL, Python, Power BI, Looker Studio;Networking;LinkedIn;Jawa Timur;1;0;0;1;1;1;1;0;0;0;0;1;0;4;1;Job-Ready Talent;;
50;Mojokerto;Ya;SQL, Python, Databases;Upskill, Networking;Teman;Jawa Timur;1;0;0;1;1;0;0;1;0;0;1;1;0;3;2;Job-Ready Talent;;
51;Tangerang ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;0;0;7;2;High-Potential Talent;;
52;Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Semua Tools Data Analyst;Cari Kerja, Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
53;Tangerang;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Banten;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
54;Jakarta;Ya;Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;0;0;0;0;1;1;1;0;1;1;1;3;3;Job-Ready Talent;;
55;Palangkaraya Kalimantan Tengah ;Tidak;SQL;Upskill, Networking, Switch Career;LinkedIn;Kalimatan Tengah;0;1;0;1;0;0;0;0;0;0;1;1;1;1;3;Emerging Talent;;
56;Jawa Tengah;Ya;Excel, SQL, Python, Tableau;Cari Kerja;Teman;Jawa Tengah;1;0;1;1;1;0;0;0;1;1;0;0;0;4;1;Job-Ready Talent;;
57;Jember;Ya;Excel, SQL, Python, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;0;0;1;1;1;1;1;0;5;3;High-Potential Talent;;
58;Jakarta;Tidak;Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Jakarta;0;1;0;0;1;1;1;1;1;0;1;0;0;5;1;High-Potential Talent;;
59;Bekasi;Tidak;ETL;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;0;0;0;0;0;0;0;1;1;1;0;0;3;Emerging Talent;;
60;Jakarta;Tidak;Hadoop, Hive Server;Upskill, Networking;LinkedIn;Jakarta;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;Emerging Talent;;
61;Jakarta Utara;Tidak;Tableau;Networking;LinkedIn;Jakarta;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;Emerging Talent;;
62;surabaya;Tidak;SQL, Databases, Tableau;Upskill;LinkedIn;Jawa Timur;0;1;0;1;0;0;0;1;1;0;1;0;0;3;1;Job-Ready Talent;;
63;Jakarta;Tidak;Excel, SQL, Power BI, Databases, Tableau;Upskill, Networking;LinkedIn;Jakarta;0;1;1;1;0;1;0;1;1;0;1;1;0;5;2;High-Potential Talent;;
64;Surabaya ;Ya;Excel, SQL, Python, Looker Studio, Databases;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Timur;1;0;1;1;1;0;1;1;0;1;1;1;1;5;4;High-Potential Talent;;
65;Tangerang;Ya;Python, Power BI, Looker Studio, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Banten;1;0;0;0;1;1;1;1;0;1;1;1;1;4;4;Job-Ready Talent;;
66;Sidoarjo ;Ya;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;0;1;1;1;1;1;1;1;1;1;0;6;3;High-Potential Talent;;
67;Surabaya;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
68;Jakarta Selatan;Tidak;Excel, SQL, Python, Databases;Upskill, Networking;LinkedIn;Jakarta;0;1;1;1;1;0;0;1;0;0;1;1;0;4;2;Job-Ready Talent;;
69;Bandung;Tidak;SQL, Python, Power BI, Databases;Upskill, Networking;LinkedIn;Jawa Barat;0;1;0;1;1;1;0;1;0;0;1;1;0;4;2;Job-Ready Talent;;
70;Jakarta;Ya;Excel, SQL, Python, Looker Studio, Databases;Upskill, Networking;LinkedIn;Jakarta;1;0;1;1;1;0;1;1;0;0;1;1;0;5;2;High-Potential Talent;;
71;Bekasi;Tidak;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;0;1;0;1;1;1;1;5;4;High-Potential Talent;;
72;Palangkaraya;Ya;Excel, SQL, Python, Databases;Upskill, Networking;Teman;Kalimantan Tengah ;1;0;1;1;1;0;0;1;0;0;1;1;0;4;2;Job-Ready Talent;;
73;Balikpapan;Tidak;Python, Power BI, Looker Studio, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Kalimantan Timur;0;1;0;0;1;1;1;1;0;1;1;1;0;4;3;Job-Ready Talent;;
74;PARINGIN;Tidak;Excel, SQL, Power BI, Databases;Upskill, Networking;LinkedIn;Kalimantan Selatan;0;1;1;1;0;1;0;1;0;0;1;1;0;4;2;Job-Ready Talent;;
75;Medan;Tidak;SQL, Looker Studio;Upskill;LinkedIn;Sumatera Utara;0;1;0;1;0;0;1;0;0;0;1;0;0;2;1;Emerging Talent;;
76;Jakarta selatan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Instagram;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
77;Bulukumba;Tidak;Excel, SQL, Python, Power BI, Tableau;Cari Kerja;Teman;Sulawesi Selatan;0;1;1;1;1;1;0;0;1;1;0;0;0;5;1;High-Potential Talent;;
78;Tulungagung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
79;Yogyakarta ;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;DI Yogyakarta;1;0;1;1;1;1;0;1;1;1;1;1;0;6;3;High-Potential Talent;;
80;Depok;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;0;1;1;1;1;1;1;1;1;1;0;6;3;High-Potential Talent;;
81;Tanjung Enim, Sumatera Selatan;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Sumatera Selatan;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
82;sangatta;Tidak;Excel, Python, Power BI, Databases;Upskill;LinkedIn;Kalimantan Timur;0;1;1;0;1;1;0;1;0;0;1;0;0;4;1;Job-Ready Talent;;
83;Malang;Ya;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill;LinkedIn;Jawa Timur;1;0;1;1;1;1;0;1;0;1;1;0;0;5;2;High-Potential Talent;;
84;Jakarta Timur ;Ya;Excel, SQL, Python;Cari Kerja, Upskill;LinkedIn;Jakarta;1;0;1;1;1;0;0;0;0;1;1;0;0;3;2;Job-Ready Talent;;
85;Surakarta;Ya;Excel, SQL, Python, Power BI, Tableau;Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;0;0;1;0;1;1;0;5;2;High-Potential Talent;;
86;Jakarta;Tidak;Excel, Looker Studio, Databases;Switch Career;Instagram;Jakarta;0;1;1;0;0;0;1;1;0;0;0;0;1;3;1;Job-Ready Talent;;
87;Palembang;Tidak;SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Networking, Switch Career;Instagram;Sumatera Selatan;0;1;0;1;1;1;1;0;1;1;0;1;1;5;3;High-Potential Talent;;
88;Lampung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Lampung;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
89;DKI Jakarta;Ya;SQL, Python, Power BI, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;0;1;1;1;0;0;1;0;1;1;1;4;3;Job-Ready Talent;;
90;Kudus;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Tengah;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
91;Malang, Jawa Timur;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
92;Jakarta Selatan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;0;0;7;2;High-Potential Talent;;
93;Tangerang;Ya;Excel, Python, Power BI, Databases;Upskill, Networking;Instagram;Banten;1;0;1;0;1;1;0;1;0;0;1;1;0;4;2;Job-Ready Talent;;
94;Semarang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
95;Banyumas;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
96;Bengkulu;Tidak;Excel, SQL, Python;Upskill, Switch Career;LinkedIn;Bengkulu;0;1;1;1;1;0;0;0;0;0;1;0;1;3;2;Job-Ready Talent;;
97;Tangerang;Tidak;Excel, SQL, Python, Looker Studio;Upskill, Switch Career;LinkedIn;Banten;0;1;1;1;1;0;1;0;0;0;1;0;1;4;2;Job-Ready Talent;;
98;Lampung;Ya;SQL, Python, Power BI, Tableau;Cari Kerja, Upskill;LinkedIn;Lampung;1;0;0;1;1;1;0;0;1;1;1;0;0;4;2;Job-Ready Talent;;
99;Batam;Ya;Excel, SQL, Python, Power BI, Tableau;Cari Kerja, Networking;Instagram;Riau;1;0;1;1;1;1;0;0;1;1;0;1;0;5;2;High-Potential Talent;;
100;Jakarta;Tidak;SQL, Python, Databases, Tableau;Upskill;LinkedIn;Jakarta;0;1;0;1;1;0;0;1;1;0;1;0;0;4;1;Job-Ready Talent;;
101;Jakarta Selatan;Tidak;SQL, Power BI, Tableau;Upskill, Networking;LinkedIn;Jakarta;0;1;0;1;0;1;0;0;1;0;1;1;0;3;2;Job-Ready Talent;;
102;Medan;Tidak;Excel, SQL, Tableau;Upskill, Switch Career;LinkedIn;Sumatera Utara;0;1;1;1;0;0;0;0;1;0;1;0;1;3;2;Job-Ready Talent;;
103;Makassar;Ya;SQL, Python, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Sulawesi Selatan;1;0;0;1;1;0;0;1;1;1;1;1;0;4;3;Job-Ready Talent;;
104;Brebes;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
105;Kediri;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, ;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Jawa Timur;1;0;1;1;1;1;1;1;0;1;1;1;1;6;4;High-Potential Talent;;
106;JAKARTA SELATAN ;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
107;Jakarta selatan ;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Skill komunikasi ;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
108;Yogyakarta ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;DI Yogyakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
109;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
110;Bogor;Ya;Excel, SQL, Python, Power BI;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;0;0;0;1;1;0;0;4;2;Job-Ready Talent;;
111;Padang;Ya;SQL, Power BI, Looker Studio, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Barat;1;0;0;1;0;1;1;1;0;1;1;1;0;4;3;Job-Ready Talent;;
112;Makassar;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sulawesi Selatan;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
113;Riau;Tidak;Excel, Power BI, Databases;Upskill, Switch Career;LinkedIn;Riau;0;1;1;0;0;1;0;1;0;0;1;0;1;3;2;Job-Ready Talent;;
114;Purwakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;0;0;7;2;High-Potential Talent;;
115;Klaten;Ya;Excel, SQL, Databases;Cari Kerja, Upskill, Networking;Teman;Jawa Tengah;1;0;1;1;0;0;0;1;0;1;1;1;0;3;3;Job-Ready Talent;;
116;Tangerang;Tidak;SQL, Python;Cari Kerja, Upskill;Teman;Banten;0;1;0;1;1;0;0;0;0;1;1;0;0;2;2;Emerging Talent;;
117;Malang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
118;Malang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Instagram;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
119;pontianak;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Kalimantan Barat;1;0;1;1;1;1;1;1;1;0;1;0;0;7;1;High-Potential Talent;;
120;pontianak;Ya;Excel, SQL, Python, Power BI, Tableau;Cari Kerja, Upskill;LinkedIn;Kalimantan Barat;1;0;1;1;1;1;0;0;1;1;1;0;0;5;2;High-Potential Talent;;
121;Sidoarjo;Tidak;Excel, Power BI, Looker Studio, Tableau;Upskill;LinkedIn;Jawa Timur;0;1;1;0;0;1;1;0;1;0;1;0;0;4;1;Job-Ready Talent;;
122;Jakarta Utara;Tidak;Excel, Power BI, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;0;0;1;0;1;0;1;1;1;1;3;4;Job-Ready Talent;;
123;Ciamis;Ya;Excel, SQL, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;0;1;1;1;1;1;1;1;0;6;3;High-Potential Talent;;
124;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
125;Cilegon;Tidak;SQL, Python, Databases;Upskill, Networking;LinkedIn;Banten;0;1;0;1;1;0;0;1;0;0;1;1;0;3;2;Job-Ready Talent;;
126;Tangerang;Tidak;Excel, Power BI, Looker Studio;Upskill, Networking;LinkedIn;Banten;0;1;1;0;0;1;1;0;0;0;1;1;0;3;2;Job-Ready Talent;;
127;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Machine learning & AI;Upskill, Networking;Teman;Jakarta;0;1;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
128;Yogyakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;DI Yogyakarta;0;1;1;1;1;1;1;1;1;0;1;0;0;7;1;High-Potential Talent;;
129;Jakarta Selatan ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Networking, Switch Career;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;0;1;1;7;3;High-Potential Talent;;
